events,profile,perturbation,metric,variant,phrases,mean,std,median
1,independent,simultaneous,joint_cosine,cel_07_lw,30,0.843578442587509,0.06840216155840813,0.8429142979596189
1,independent,simultaneous,joint_cosine,cel_08_lw,30,0.7567778306355457,0.10936901128922824,0.7836901252684678
1,independent,simultaneous,joint_cosine,cel_09_lw,30,0.8481592283259379,0.061366833373846456,0.8400260214896799
1,independent,simultaneous,joint_cosine,cel_10_lw,30,0.8502977557621103,0.0581457653293709,0.8462461724244436
1,independent,simultaneous,joint_cosine,cel_11_lw,30,0.8377545191964556,0.07903136382384064,0.8414908115325603
1,independent,simultaneous,joint_cosine,cel_12_lw,30,0.7498927042648555,0.09929635212747032,0.7705872351829699
1,independent,simultaneous,joint_cosine,cel_13_lw,30,0.8425056319368607,0.07440855211664896,0.8638427985043744
1,independent,simultaneous,joint_cosine,cel_14_lw,30,0.8350056115557952,0.07248916920738578,0.859729865337996
1,independent,simultaneous,joint_cosine,cel_15_lw,30,0.8517158352466454,0.05705303900441684,0.848013477679678
1,independent,simultaneous,joint_directed,cel_01,30,0.9895833333333334,0.023690563861840732,1.0
1,independent,simultaneous,joint_directed,cel_02,30,0.9625,0.06052927476393779,1.0
1,independent,simultaneous,joint_directed,cel_03,30,0.9916666666666667,0.02160911897761002,1.0
1,independent,simultaneous,joint_directed,cel_04,30,0.9697916666666667,0.03431453668871138,0.96875
1,independent,simultaneous,joint_directed,cel_05,30,0.984375,0.021321507475656656,1.0
1,independent,simultaneous,joint_directed,cel_06,30,0.978125,0.02482427465343077,0.984375
1,independent,simultaneous,joint_directed,cel_07,30,0.9854166666666667,0.019650319525933015,1.0
1,independent,simultaneous,joint_directed,cel_08,30,0.96875,0.032826608214930636,0.96875
1,independent,simultaneous,joint_directed,cel_09,30,0.9916666666666667,0.01627595186756837,1.0
1,independent,simultaneous,joint_directed,cel_10,30,0.98125,0.025427381385780393,1.0
1,independent,simultaneous,joint_directed,cel_11,30,0.9916666666666667,0.01627595186756837,1.0
1,independent,simultaneous,joint_directed,cel_12,30,0.971875,0.0341834396031682,0.984375
1,independent,simultaneous,joint_directed,cel_13,30,0.9822916666666667,0.02274787630608145,1.0
1,independent,simultaneous,joint_directed,cel_14,30,0.978125,0.02482427465343077,0.984375
1,independent,simultaneous,joint_directed,cel_15,30,0.9854166666666667,0.019650319525933015,1.0
1,independent,simultaneous,joint_directed,cel_01_lw,30,0.990625,0.021944164058056447,1.0
1,independent,simultaneous,joint_directed,cel_02_lw,30,0.978125,0.04032966254550716,1.0
1,independent,simultaneous,joint_directed,cel_03_lw,30,0.9875,0.025427381385780396,1.0
1,independent,simultaneous,joint_directed,cel_04_lw,30,0.978125,0.02740333716778003,1.0
1,independent,simultaneous,joint_directed,cel_05_lw,30,0.9854166666666667,0.019650319525933015,1.0
1,independent,simultaneous,joint_directed,cel_06_lw,30,0.9833333333333333,0.022821773229381923,1.0
1,independent,simultaneous,joint_directed,cel_07_lw,30,0.9916666666666667,0.014055513909650114,1.0
1,independent,simultaneous,joint_directed,cel_08_lw,30,0.965625,0.037021006967619764,0.96875
1,independent,simultaneous,joint_directed,cel_09_lw,30,0.98125,0.024066628060592465,1.0
1,independent,simultaneous,joint_directed,cel_10_lw,30,0.9802083333333333,0.02657147836767232,1.0
1,independent,simultaneous,joint_directed,cel_11_lw,30,0.9875,0.01942048332080829,1.0
1,independent,simultaneous,joint_directed,cel_12_lw,30,0.9708333333333333,0.03475333854797097,0.984375
1,independent,simultaneous,joint_directed,cel_13_lw,30,0.9802083333333333,0.025272402432547712,1.0
1,independent,simultaneous,joint_directed,cel_14_lw,30,0.9802083333333333,0.023902828008033047,1.0
1,independent,simultaneous,joint_directed,cel_15_lw,30,0.984375,0.021321507475656656,1.0
1,independent,simultaneous,onset_directed,cel_01,30,0.9427083333333334,0.08452586023727043,1.0
1,independent,simultaneous,onset_directed,cel_02,30,0.9322916666666666,0.09643543675767575,0.96875
1,independent,simultaneous,onset_directed,cel_03,30,0.9447916666666667,0.0855554136654792,0.984375
1,independent,simultaneous,onset_directed,cel_04,30,0.7333333333333333,0.09054631443339516,0.75
1,independent,simultaneous,onset_directed,cel_05,30,0.9104166666666667,0.08358439193242147,0.9375
1,independent,simultaneous,onset_directed,cel_06,30,0.8072916666666666,0.08955534513335327,0.8125
1,independent,simultaneous,onset_directed,cel_07,30,0.9364583333333333,0.0717710705374523,0.96875
1,independent,simultaneous,onset_directed,cel_08,30,0.8291666666666667,0.08713491158021539,0.828125
1,independent,simultaneous,onset_directed,cel_09,30,0.9427083333333334,0.0853189271188559,1.0
1,independent,simultaneous,onset_directed,cel_10,30,0.94375,0.06482735693283008,0.96875
1,independent,simultaneous,onset_directed,cel_11,30,0.953125,0.07236294268572784,1.0
1,independent,simultaneous,onset_directed,cel_12,30,0.75625,0.08892012591704675,0.765625
1,independent,simultaneous,onset_directed,cel_13,30,0.9010416666666666,0.08168951636124022,0.9375
1,independent,simultaneous,onset_directed,cel_14,30,0.809375,0.08927917155830878,0.8125
1,independent,simultaneous,onset_directed,cel_15,30,0.9197916666666667,0.08476455940786336,0.9375
1,independent,simultaneous,onset_directed,cel_01_lw,30,0.93125,0.09443000509408526,0.984375
1,independent,simultaneous,onset_directed,cel_02_lw,30,0.9427083333333334,0.09747738648751711,0.984375
1,independent,simultaneous,onset_directed,cel_03_lw,30,0.9395833333333333,0.09354623449666878,0.984375
1,independent,simultaneous,onset_directed,cel_04_lw,30,0.7260416666666667,0.09200360945255816,0.71875
1,independent,simultaneous,onset_directed,cel_05_lw,30,0.9104166666666667,0.08635852326336924,0.9375
1,independent,simultaneous,onset_directed,cel_06_lw,30,0.8989583333333333,0.08275436448885354,0.90625
1,independent,simultaneous,onset_directed,cel_07_lw,30,0.940625,0.0762600685833997,0.96875
1,independent,simultaneous,onset_directed,cel_08_lw,30,0.771875,0.09575795073679441,0.78125
1,independent,simultaneous,onset_directed,cel_09_lw,30,0.925,0.07681005456812683,0.953125
1,independent,simultaneous,onset_directed,cel_10_lw,30,0.921875,0.08399298898286608,0.9375
