target_id,events,variant,pitch_mae_cents,onset_mae_ms,log_spectral_distance_db,joint_event_error,updates,wall_seconds,stopped_by,best_loss,f0_hz,onset_seconds
C08-T0091,8,clockwise,307.028308285017,138.0376456013884,19.250952720525703,0.21197240743171647,1872,142.92080860212445,patience,0.01238429970725837,"[100.58535859254368, 124.61268085448184, 166.1850860204981, 212.0151887508854, 87.4934351627883, 92.63934130410938, 88.41005282970096, 100.32963183888286]","[0.27357925569761515, 0.47246152001930747, 0.6909943705468993, 0.7582794419968764, 0.8560924848340681, 1.3622597295944043, 1.6194988041845026, 1.7628720938507787]"
C08-T0092,8,clockwise,0.4034284885164913,0.05338809032911368,0.7939973266129866,0.0003786402471034343,2390,175.9948851969093,patience,0.00010178970960895834,"[88.8516500450727, 139.59693302173693, 231.95015532456833, 202.8248522021482, 230.75401888638996, 152.69959979279707, 108.28406384114501, 222.57134321354943]","[0.3044776436330865, 0.35846304048853606, 0.6380716802586225, 1.07269025531052, 1.230696617447294, 1.2855937374369992, 1.631883445128443, 1.6938432038562523]"
C08-T0093,8,clockwise,238.35929417192455,91.50655251445471,20.718609103861994,0.16590337503157881,1634,114.84889893606305,patience,0.012093950396906292,"[121.01316693646405, 209.05970498450267, 112.18189417279247, 161.41238161299947, 93.37206390050318, 124.8851407741191, 85.81630443458886, 89.31325474989855]","[0.26137279288124093, 0.8609869993866417, 0.749851774691678, 1.0749586663474877, 1.108531939893718, 1.5189032024034748, 1.405490894145646, 1.7713333187310438]"
C08-T0094,8,clockwise,167.85461475184115,224.68855669131398,19.616824033913275,0.2408140244956586,634,56.190353374928236,patience,0.015870427025596698,"[205.7866345311987, 101.23739614971575, 109.89785548445532, 105.03449887114839, 100.57910892699154, 135.6406628586497, 101.52870975210618, 144.96653413753666]","[0.3295748855319217, 0.5691048799010172, 0.4694532495805236, 0.7524436298242143, 0.617648463489693, 1.319355937398424, 1.555486637979525, 1.7226507660140677]"
C08-T0095,8,clockwise,78.2469342091677,50.98760140274418,15.070526949923167,0.07912695913708108,624,43.80430043116212,patience,0.010057728447021368,"[297.346497929637, 152.59931153029396, 174.14407553638972, 113.79758917730216, 139.0097372784889, 91.70413581958849, 111.4911298754925, 97.92529208134223]","[0.5109331920004649, 0.7219153607584043, 0.8207487243439293, 1.147996423032891, 1.4360913433090174, 1.307354475093233, 1.5815270814116504, 1.7906824567274926]"
C08-T0096,8,clockwise,315.2317122966903,101.19770480170305,12.88617505026376,0.23475824613728566,1785,115.20131120085716,patience,0.009145659732650222,"[163.53980842543336, 173.57609984761947, 133.67561544126235, 132.64828898172325, 101.37424214627697, 96.08623357208351, 83.55554051696998, 104.17210280331554]","[0.25240177136979536, 0.39375493712105003, 0.6651818059739569, 0.7221793539222019, 0.7761533696869831, 0.8542374389748282, 0.9880022283316479, 1.640912105666675]"
C08-T0097,8,clockwise,353.59640705463187,151.62513507671014,19.71974029729878,0.2563557304491002,1928,142.67041450738907,patience,0.016068718032075237,"[178.10677585901163, 148.07967464413133, 185.76623207879067, 92.62977988601577, 96.70659229046817, 84.91117932535167, 190.12383689511523, 155.34302733776696]","[0.45064953052753975, 0.7941533574995854, 0.5813313131283399, 0.655749394333107, 0.909534542275521, 0.9365012650575357, 1.4994994352352158, 1.6998173018570881]"
C08-T0098,8,clockwise,317.538164747029,186.41771510503372,21.781847916759823,0.24558763818090665,1103,83.66856766771525,patience,0.015661322371560003,"[185.14708634457858, 163.6917242558222, 135.3428594959429, 84.59099603657528, 131.8610495176752, 163.41349956400097, 166.02237963823046, 138.80452050182947]","[0.4885863014922358, 0.507286417075608, 0.4743877158020767, 0.5413178962620504, 1.0115674828153147, 1.180899734249563, 1.2553449646197967, 1.5580663410941022]"
C08-T0099,8,clockwise,223.7405656313925,89.56406894735038,18.418393032125113,0.15162948155158212,1862,159.48372830450535,patience,0.015782551661312788,"[238.2049144415512, 171.3994841937591, 128.12767543185598, 127.36961528789136, 120.08648011829236, 120.28898686837758, 111.1309743946725, 86.42090386619556]","[0.6443686705131157, 0.6828904434809262, 0.7081161858460283, 1.1764176437625211, 1.3699883991671729, 1.4286772516055466, 1.4912315391678692, 1.6075138949093237]"
C08-T0100,8,clockwise,202.8622703918881,161.5458017793789,18.803525271657634,0.1845212545776581,480,38.027262806892395,patience,0.016166535662719906,"[173.86394228476865, 135.7496320861107, 147.3029312824396, 198.0986704220064, 132.46833538011438, 109.75666628532677, 107.05026924705848, 204.7268911511135]","[0.3457177553428077, 0.43948034588335383, 0.6235768051271229, 0.8218558263735674, 1.450374748140295, 1.2413216969386132, 1.2627848086946925, 1.704349834166777]"
C08-T0101,8,clockwise,59.834973395985145,100.50067073808728,19.020245612898016,0.10913711180231404,2917,199.59664682112634,patience,0.020181157431080177,"[278.43026640231176, 121.44769774712918, 149.93810762683148, 87.92734199297107, 164.4171903465835, 169.48098388418867, 213.68068432698902, 270.40499169399976]","[0.7514848961678788, 0.7832508562774005, 0.8960791339719758, 0.7052102542983543, 1.238492940961239, 1.4515462704321387, 1.3122150362622889, 1.5684687988303185]"
C08-T0102,8,clockwise,324.0361254039165,30.095647408876953,15.337431111405913,0.2315105911695971,1639,122.13504515215755,patience,0.012191051767944303,"[87.8752185381809, 82.16664742021287, 151.89386957794508, 187.41699678433525, 124.18934813962122, 123.2216412373592, 220.55540863256005, 263.3611899306412]","[0.2096683424425819, 0.2767496357334853, 0.3895209878009242, 0.4679563896843235, 1.3884641448242157, 1.2712981592342683, 1.5244790381529547, 1.6068863693711883]"
C08-T0103,8,clockwise,409.95706130693384,140.9900428378151,20.568686716788843,0.24455986005247188,1390,98.73949247226119,patience,0.02300523924071893,"[188.98013034230564, 126.02462118946995, 112.49100309899937, 100.98864697918185, 88.76432663348444, 154.5326129717103, 138.97154572220376, 84.3219988757582]","[0.21398370159452418, 0.8411959465129539, 0.8909018662290138, 0.9506213390096201, 1.0470493235259895, 1.1212246426087886, 1.4875031371911145, 1.2276296135830902]"
C08-T0104,8,clockwise,241.624395202013,119.29438865817895,10.832474533213515,0.19592814419217228,1648,113.58578292280436,patience,0.00898575174642649,"[160.40619032354243, 197.33552417459072, 155.54378578971483, 288.8590323978021, 86.01351918412095, 113.65599777293471, 254.22242468329003, 262.16476387395073]","[0.413874808885909, 0.6940034058916782, 0.8945057198009208, 1.1365789649958165, 1.2735510995006734, 1.3353264295403802, 1.3783311773843077, 1.5342006193511226]"
C08-T0105,8,clockwise,181.8317561526295,104.88339455171463,15.086317921877043,0.18958106089297394,2331,156.17950280196965,patience,0.01268024723854373,"[219.41138262076493, 117.66205992871944, 190.49531091693706, 126.93250977166899, 139.52591835013735, 197.80074203410763, 147.2346618901579, 314.73526972964345]","[0.25048153409268525, 0.46934094735258647, 0.8063783047922899, 1.05032408106531, 0.8752252098752475, 1.1720455317763663, 1.4633438551438631, 1.6898962243065314]"
C08-T0106,8,clockwise,277.54341944479324,45.99088120584911,13.685071617587226,0.16516810530558595,3000,227.80173459462821,maximum updates,0.01089815237712084,"[162.28339350887916, 184.79083349554756, 123.1426605747645, 102.59072978910284, 144.18822228320414, 106.98308833531323, 209.12539179306987, 86.35584607095252]","[0.8778674910288593, 1.1443139615166351, 0.9887501588910204, 1.3676307298156771, 1.384116254913977, 1.4153427672016732, 1.5534072329955346, 1.7618202387341526]"
C08-T0107,8,clockwise,1.5701774596440248,0.27840133245393694,1.7958673887385306,0.0009285342693146557,572,37.47042269911617,patience,0.0005717979559318614,"[235.85828314290225, 129.46123319800762, 276.5363634396369, 295.14208106095987, 210.33488482638955, 238.1266292582737, 107.0242906083719, 249.33719481299295]","[0.3684648553275658, 0.6518093634261698, 0.7811056877580238, 1.2691638699834225, 1.3342588478914734, 1.5412553145524759, 1.6764501479534917, 1.7820710975588783]"
C08-T0108,8,clockwise,99.05143507208376,82.63355382525063,14.150382163873662,0.09655637859010688,1752,118.08877603337169,patience,0.008539139893402945,"[137.50416099144536, 140.63736441520112, 176.88223290507796, 136.49561322802472, 135.4307924720727, 195.54766025667493, 167.52909274839197, 167.18113736373283]","[0.30596052210328867, 0.49871488276714526, 0.621507333296655, 0.7158834039580662, 0.8272310146100714, 0.9848828335278652, 1.056440983388761, 1.242041316295657]"
C08-T0109,8,clockwise,323.17570227651714,184.0222289493675,16.492476449432026,0.2641510076135284,2059,141.40103960596025,patience,0.012568038386314744,"[142.26844864771357, 110.81097707637699, 183.54187842342697, 146.24601882095226, 142.953158985711, 99.86074251423548, 86.01760673663405, 83.46013540376987]","[0.27149825489577584, 0.3785759829005785, 0.4883599745389794, 1.165847945518173, 0.9743981917805677, 1.202005123187989, 1.2404658168590545, 1.5047407793637848]"
C08-T0110,8,clockwise,325.98110991200844,89.12654621830544,22.816002998317302,0.19181972271912645,818,60.07937873899937,patience,0.018371380802304733,"[107.2195409968196, 108.01292654809936, 101.09575733277308, 128.74220781669524, 162.23907882991455, 208.88253278929483, 257.59251122444675, 215.11423907697707]","[0.3360495711603298, 0.37082245654134605, 0.7422478523411138, 0.73630713324772, 1.0099889005634186, 1.3091608736203362, 1.4317570439829055, 1.7178360496379947]"
C08-T0111,8,clockwise,334.37705601187577,139.26190495947475,25.931818105172923,0.22277912849281364,1890,138.724610298872,patience,0.021026176668887803,"[160.36813707265327, 274.2895530715101, 216.58093484482004, 180.99367612756873, 149.5509387265838, 132.79751210609584, 172.48796528525799, 144.41018966818115]","[0.38543457141186116, 0.6571848823282914, 0.5846236178368789, 1.049502036641306, 1.1779964178594875, 1.3553866477440968, 1.6869714529905817, 1.7194072764379675]"
C08-T0112,8,clockwise,158.2318660870361,2.834560695846436,8.652943540984626,0.12268271207745311,2207,168.712497882545,patience,0.007201781378502284,"[186.59127075267367, 101.12589992739521, 266.5391548478131, 225.17316204127198, 181.34650119246606, 169.4780012914416, 250.47943714036518, 86.80803555852668]","[0.3260100030350762, 0.4109982671080522, 0.6904858004044336, 1.062249117685573, 1.1623586334867817, 1.392895733218563, 1.5108814802462485, 1.6195913875546335]"
C08-T0113,8,clockwise,182.61860017780975,58.93436041320619,13.338002402170773,0.15508990325659827,1654,133.79235357046127,patience,0.009778892911026413,"[172.4299628163003, 140.71708340891593, 147.5011060542744, 139.60115023579274, 101.08840608282593, 99.22371835025146, 116.85781905098601, 156.57729573599087]","[0.29499307521469387, 0.3931570988000599, 0.5058850572390368, 0.8974035757234999, 1.0676169986819655, 1.146747568994785, 1.2866340271328196, 1.6091268042770412]"
C08-T0114,8,clockwise,152.55852703634642,27.457031690349073,12.93006905030678,0.14168838719669755,2113,169.28191006183624,patience,0.007376053672936101,"[138.61203801064138, 126.75684354124326, 144.91790140170033, 95.71727705093821, 136.40810943462154, 215.27867935065944, 128.3506257278084, 91.47897691472515]","[0.3177860720841521, 0.41159154746285276, 0.8242518593410582, 0.8806811360987052, 0.7998245054681838, 1.022752536541338, 1.27008370503003, 1.669165271320885]"
