events,condition,candidates_per_target,targets,loss,metric,mean,sd,median
2,time,256,32,linear_jtfot,dot_directed,0.6558837890625,0.048593026511816094,0.6552734375
2,time,256,32,log_jtfot,dot_directed,0.59197998046875,0.049667333069189,0.5849609375
2,time,256,32,bidirectional_cumulative_energy,dot_directed,0.80816650390625,0.08004159641964752,0.80078125
2,time,256,32,log_quadrature_bicul,dot_directed,0.8109130859375,0.08025761978335612,0.8173828125
2,time,256,32,fading,dot_directed,0.79925537109375,0.07996007349829228,0.802734375
2,time,256,32,waveform_l1,cosine,0.014712933128783984,0.042795568449032845,0.011907608827029775
2,time,256,32,waveform_mse,cosine,0.026136763099588557,0.06884134862911541,0.01923784145677478
2,time,256,32,single_stft,cosine,0.27104408511620437,0.07164980616033058,0.26889708072545204
2,time,256,32,linear_mss,cosine,0.1093250950952635,0.05659280246095863,0.09018447616299381
2,time,256,32,smooth_mss,cosine,0.07398000723740489,0.04422241877012275,0.07143681446481809
2,time,256,32,sot_published_composite,cosine,0.0027549000027838376,0.03647930131013466,0.007444609513843173
2,time,256,32,linear_jtfot,cosine,0.28427140403472045,0.08913398779141313,0.2808116161862231
2,time,256,32,log_jtfot,cosine,0.17129609911417235,0.0890087802397705,0.16623537623622248
2,time,256,32,bidirectional_cumulative_energy,cosine,0.5496230687269833,0.14408026387949754,0.552868589369914
2,time,256,32,log_quadrature_bicul,cosine,0.5538306864562091,0.1447889641390791,0.5793035548653925
2,time,256,32,fading,cosine,0.539065084115267,0.1366763992082083,0.5426380841409839
