profile,perturbation,metric,variant,directions,mean_percent,delta_pp
structured,isolated_pitch,pitch_directed,cel8_082_lw,↘ ↑ → + LW,100.0,2.816486342082411
structured,isolated_pitch,pitch_directed,cel8_083,↗ ↘ ↑ →,97.96980398049823,0.7862903225806461
structured,isolated_pitch,pitch_directed,cel8_083_lw,↗ ↘ ↑ → + LW,99.78260869565217,2.5990950377345836
structured,isolated_pitch,pitch_directed,cel8_084,↖ ↑ →,97.62130167635075,0.4377880184331773
structured,isolated_pitch,pitch_directed,cel8_084_lw,↖ ↑ → + LW,99.62131837307153,2.4378047151539377
structured,isolated_pitch,pitch_directed,cel8_085,↗ ↖ ↑ →,97.18351365791759,0.0
structured,isolated_pitch,pitch_directed,cel8_085_lw,↗ ↖ ↑ → + LW,99.46002805049088,2.2765143925732922
structured,isolated_pitch,pitch_directed,cel8_086,↘ ↖ ↑ →,97.71058739063648,0.5270737327188968
structured,isolated_pitch,pitch_directed,cel8_086_lw,↘ ↖ ↑ → + LW,99.54067321178121,2.357159553863614
structured,isolated_pitch,pitch_directed,cel8_087,↗ ↘ ↖ ↑ →,97.18351365791759,0.0
structured,isolated_pitch,pitch_directed,cel8_087_lw,↗ ↘ ↖ ↑ → + LW,99.54067321178121,2.357159553863614
structured,isolated_pitch,pitch_directed,cel8_088,↙ ↑ →,99.54067321178121,2.357159553863614
structured,isolated_pitch,pitch_directed,cel8_088_lw,↙ ↑ → + LW,99.73001402524545,2.546500367327853
structured,isolated_pitch,pitch_directed,cel8_089,↗ ↙ ↑ →,97.97844453349363,0.7949308755760359
structured,isolated_pitch,pitch_directed,cel8_089_lw,↗ ↙ ↑ → + LW,99.62131837307153,2.4378047151539377
structured,isolated_pitch,pitch_directed,cel8_090,↘ ↙ ↑ →,99.46002805049088,2.2765143925732922
structured,isolated_pitch,pitch_directed,cel8_090_lw,↘ ↙ ↑ → + LW,99.73001402524545,2.546500367327853
structured,isolated_pitch,pitch_directed,cel8_091,↗ ↘ ↙ ↑ →,98.14837540906966,0.9648617511520741
structured,isolated_pitch,pitch_directed,cel8_091_lw,↗ ↘ ↙ ↑ → + LW,99.54067321178121,2.357159553863614
structured,isolated_pitch,pitch_directed,cel8_092,↖ ↙ ↑ →,97.96980398049823,0.7862903225806461
structured,isolated_pitch,pitch_directed,cel8_092_lw,↖ ↙ ↑ → + LW,99.54067321178121,2.357159553863614
structured,isolated_pitch,pitch_directed,cel8_093,↗ ↖ ↙ ↑ →,97.2641588192079,0.0806451612903214
structured,isolated_pitch,pitch_directed,cel8_093_lw,↗ ↖ ↙ ↑ → + LW,99.46002805049088,2.2765143925732922
structured,isolated_pitch,pitch_directed,cel8_094,↘ ↖ ↙ ↑ →,98.05908969478394,0.8755760368663629
structured,isolated_pitch,pitch_directed,cel8_094_lw,↘ ↖ ↙ ↑ → + LW,99.54067321178121,2.357159553863614
structured,isolated_pitch,pitch_directed,cel8_095,↗ ↘ ↖ ↙ ↑ →,97.44273024777934,0.2592165898617521
structured,isolated_pitch,pitch_directed,cel8_095_lw,↗ ↘ ↖ ↙ ↑ → + LW,99.54067321178121,2.357159553863614
structured,isolated_pitch,pitch_directed,cel8_096,↓ →,96.14721394343152,-1.0362997144860748
structured,isolated_pitch,pitch_directed,cel8_096_lw,↓ → + LW,98.82829301075269,1.6447793528351045
structured,isolated_pitch,pitch_directed,cel8_097,↗ ↓ →,97.97844453349363,0.7949308755760359
structured,isolated_pitch,pitch_directed,cel8_097_lw,↗ ↓ → + LW,99.78260869565217,2.5990950377345836
structured,isolated_pitch,pitch_directed,cel8_098,↘ ↓ →,99.29588154511453,2.112367887196948
structured,isolated_pitch,pitch_directed,cel8_098_lw,↘ ↓ → + LW,99.91935483870968,2.7358411807920895
structured,isolated_pitch,pitch_directed,cel8_099,↗ ↘ ↓ →,98.14837540906966,0.9648617511520741
structured,isolated_pitch,pitch_directed,cel8_099_lw,↗ ↘ ↓ → + LW,99.54067321178121,2.357159553863614
structured,isolated_pitch,pitch_directed,cel8_100,↖ ↓ →,97.71058739063648,0.5270737327188968
structured,isolated_pitch,pitch_directed,cel8_100_lw,↖ ↓ → + LW,99.46002805049088,2.2765143925732922
structured,isolated_pitch,pitch_directed,cel8_101,↗ ↖ ↓ →,97.18351365791759,0.0
structured,isolated_pitch,pitch_directed,cel8_101_lw,↗ ↖ ↓ → + LW,99.37938288920056,2.1958692312829737
structured,isolated_pitch,pitch_directed,cel8_102,↘ ↖ ↓ →,98.23766112335537,1.054147465437791
structured,isolated_pitch,pitch_directed,cel8_102_lw,↘ ↖ ↓ → + LW,99.54067321178121,2.357159553863614
structured,isolated_pitch,pitch_directed,cel8_103,↗ ↘ ↖ ↓ →,97.44273024777934,0.2592165898617521
structured,isolated_pitch,pitch_directed,cel8_103_lw,↗ ↘ ↖ ↓ → + LW,99.54067321178121,2.357159553863614
